# GM,diameter,a,e,i,om,w,ma
,2.38,5.361044730562718,.659527228287687,19.44338872007119,181.4651023617225,163.8082387580424,336.0020781872763
,,4.3912043587897438001732,0.6119295988335800018376,12.219821310157579219435,339.9202114205281,74.64672258105206,47.08980217124619
,,3.5127785598432,.363567150661434,6.183904445397216,70.91336693532239,92.6613043668964,161.5742618247869
,6.4,3.033939724939583,.9592118287498192,58.31221423529453,94.32323631127545,14.75774840136655,77.99276065152682
,3.4,4.797840569828315,.4580516058088909,17.87833858966416,185.2054337630095,228.2670558344799,86.59786493894478
,5.4,3.808319341400365,.5605977808221723,10.54421204182212,114.7417165616202,157.8742443878394,27.5372541598409
,10.2,6.150503689944444,.2287716907957943,4.332540940374086,28.20833810963109,174.6153280631434,80.84662334200382
,,3.416167306079676,.4172170400828409,25.66151100521957,37.81685002953401,182.0166667181864,113.8094990905865
,5.6,5.7921529460737,0.594171114197868,5.07933498518651,130.271019940504,263.1723818254981,4.64250536728102
,,5.79977321714315,0.59472156321091,5.07827909207403,130.2324471061459,263.1867780154515,.1135994534185381
,3.2,3.735059835182303,.4729510635048332,26.24763360906397,339.8562119379991,18.80153804163205,24.67529035923729
,1.6,3.469764682529919,.6949264023325195,13.61715960790553,219.7738694367208,181.2178536214435,281.105428824461
,2.0,3.36673766584106,0.585324681723579,15.4893777512993,246.0837406469791,192.0354054308435,351.3558255896356
,2.2,3.47004826613181,.4090801715603757,9.170894334227624,192.4125590772428,46.63529856040196,58.08508238263528
,1.88,3.756133005701624,.588391981125753,20.14843472932261,50.54358694207657,355.9207882093692,6.748031669365778
,3.2,3.740253949077828,.5431233725080959,13.09756281154625,53.67098343994628,358.0709472386768,354.493806225011
,26,26.0920694978266,0.963225755046038,113.453816997171,139.3811920815948,152.9821676305871,7.631696167124212
,4.3,3.609963913226047,.3142611379192006,11.69378383177873,287.7140999940787,167.7444747312269,318.0711444911105
,1.2,4.160365902658368,.1096207704078609,4.228807042165645,89.79399820609125,3.37794152502789,359.6946225231546
,1.8,3.532576715247871,.5880891107121575,24.20298404102166,31.91436562161548,21.43969131331588,37.06983589103117
,2.2,3.68264023055644,.4246130820377247,5.775780950201019,14.38687640239822,50.00230774303318,328.2436697072582
,1.56,3.542193505168747,.5553841362061995,18.28405195542122,271.0542474325339,172.8342430900015,43.04266283685447
,2.22,4.259707663751156,.5211645777049814,11.68738422710921,176.5030959275626,120.4104598679621,58.59101536405222
,,3.476690922984567,.3743512480847117,3.612282718016135,21.02632213591965,173.6045561662417,53.08511538248159
,9,4.096293542604902,.2538782498961424,8.697209290163361,58.89584335722523,222.6792412336048,6.640953956248733
,4.8,3.46447388745636,.4284008514317814,8.513139576862198,151.728670827085,302.2822800881896,255.1892463177828
,,4.277294024008889,.2924261594235043,5.195944432587327,244.1007889054812,181.3025495872578,356.3687444464743
,3.0,4.137763681119297,.340813229617001,8.795942531284931,4.273039036177162,30.28447308525833,43.4829148927632
,3.24,4.606111568633298,.1850207770465562,20.15632999420141,94.20597607904955,12.08068314388462,25.81482683012296
,,17.680816651897078628508,0.9627088867609727707019,85.382753114444753350653,79.62450068849807,12.99609193700053,3.765031967057799
,,3.860744511762061,.4486260518570287,15.35692933600887,46.59827632105053,102.8202036859696,43.33196213066638
,,3.31638954656023,.5038766394952058,31.52901252633765,.4145626593313008,183.7125328924699,6.916593595231268
,1.6,3.127091883587495,.5123227175298782,9.987206495466085,153.1883881600926,87.19442972903114,67.20407197956034
,3.2,5.646476269897362,.6957724986244791,45.80272010221584,357.7993210662704,356.7748973871472,81.89487642320886
,,3.446912544462132,.3632637763005511,14.31290201004184,13.74780519397004,6.491130368480579,309.5940401351625
,,4.48815742820982,0.321040052243999,4.36156666889927,214.5291998793192,210.1922243172213,325.56444834641
,4.6,4.5127587101054773555119,0.3199662500875177228998,4.3551498854065435750726,214.4165999198756,210.4329771088858,21.63583339799928
,,4.288925572099323,.08748030452997145,3.438152991200658,184.9511187917157,309.5004090029561,1.94113471411002
,4.2,3.543602890259892,.411707591006842,7.339980323306746,89.70016224353954,224.440632076287,92.30573290980611
,,3.679142246300213,.3432245787360794,7.355097794656032,214.1980910464581,179.2763173970513,78.99002033324929
,,4.09403029703705,0.530008959167058,5.76597856729094,178.3881878580266,221.1010107900228,358.0985817520239
,,6.231300278091156,.5873512785900016,4.348805948176365,202.1203340171101,18.58476774194309,.03192882294626361
,3.8,3.83020881258833,0.289567735861711,6.05010571542718,213.3175748030835,22.60841193194022,338.6215750635425
,,4.193919487743077,.2934954758915328,9.426358149253621,137.5546477151056,225.089872755748,119.7654811197973
